2021-02-14/18:00:15		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:15		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:15		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:15		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:15		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:16		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:16		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:16		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:16		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:16		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:16		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:16		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:16		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:16		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:16		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:16		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:17		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:17		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:17		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:17		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:17		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:17		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:17		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:17		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:17		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:17		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:17		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:17		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:17		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:18		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-14/18:00:18		 wafer_16012020_051629.csv: File loaded successfully!!
